노선,노선,노선,운항(편),여객(명),화물(톤)
109,인천(ICN),쉬지아쭈앙(석가장)(SJW),297,"35,820",460
110,인천(ICN),스톡홀름 알란다(ARN),231,0,"8,829"
111,인천(ICN),시드니(SYD),"1,461","428,233","15,850"
112,인천(ICN),시안(XIY),"1,438","224,747","11,733"
113,인천(ICN),시애틀(SEA),"2,864","464,157","51,088"
114,인천(ICN),시즈오카(FSZ),498,"81,693",640
115,인천(ICN),시카고(ORD),"1,879","323,171","81,108"
116,인천(ICN),신시내티(CVG),"2,248",0,"24,938"
117,인천(ICN),신치토세(CTS),"5,758","974,003","16,289"
118,인천(ICN),심양(SHE),"2,919","521,899","13,413"
119,인천(ICN),싱가폴(SIN),"6,627","1,464,710","113,517"
120,인천(ICN),씨엠립(REP),"1,083","163,151","1,685"
121,인천(ICN),아끼다(AXT),14,"2,024",19
122,인천(ICN),아디스아바바(ADD),417,"47,906","2,265"
123,인천(ICN),아부다비(AUH),735,"189,015","14,788"
124,인천(ICN),아사이까와(AKJ),71,"10,143",86
125,인천(ICN),아스타나(TSE),208,"27,842",601
126,인천(ICN),아오모리(AOJ),366,"41,460",527
127,인천(ICN),아제르바이잔(GYD),326,0,"17,257"
128,인천(ICN),아틀란타(ATL),"1,986","409,992","52,172"
129,인천(ICN),알 막툼(DWC),8,158,140
130,인천(ICN),알마아타(ALA),802,"149,832","6,900"
131,인천(ICN),알아인(AAN),1,0,0
132,인천(ICN),암스텔담(AMS),"1,237","298,221","37,890"
133,인천(ICN),애벌론(AVV),5,0,0
134,인천(ICN),앤더슨공군기지(괌)(UAM),2,0,0
135,인천(ICN),앵커리지(ANC),"3,349","1,011","61,209"
136,인천(ICN),야쿠츠크(YKS),108,"8,407",95
137,인천(ICN),에드먼튼(YEG),1,0,23
138,인천(ICN),엔테베(EBB),1,161,8
139,인천(ICN),연길(YNJ),"2,922","463,646","8,766"
140,인천(ICN),연대(YNT),"5,107","547,578","25,279"
141,인천(ICN),염성(YNZ),518,"44,302",762
142,인천(ICN),예레반(EVN),3,556,9
143,인천(ICN),오까야마(OKJ),730,"108,465","1,250"
144,인천(ICN),오사카(KIX),"19,756","3,497,303","99,365"
145,인천(ICN),오슬로(OSL),354,"11,336","19,856"
146,인천(ICN),오이다(OIT),838,"123,578",939
147,인천(ICN),오크랜드(미)(OAK),312,0,0
148,인천(ICN),오클랜드(AKL),586,"138,793","7,182"
149,인천(ICN),오키나와(OKA),"5,999","978,441","22,177"
150,인천(ICN),온타리오(ONT),204,0,7
151,인천(ICN),외레브로(ORB),3,0,51
152,인천(ICN),요나고(YGJ),506,"68,498",504
153,인천(ICN),우르겐치(UGC),1,122,1
154,인천(ICN),우르무치(URC),122,"8,174",130
155,인천(ICN),우베(UBJ),140,"19,095",139
156,인천(ICN),우시샤우팡(WUX),81,0,752
157,인천(ICN),우타파오(UTP),2,0,38
158,인천(ICN),우한(무한)(WUH),922,"135,731","4,196"
